time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,3,3,16,9
2026-05-26 00:00:00+00:00,3,3,28,4
2026-05-27 00:00:00+00:00,35,10,36,5
2026-05-28 00:00:00+00:00,6,5,51,10
2026-05-29 00:00:00+00:00,27,3,50,3
2026-05-30 00:00:00+00:00,33,8,31,5
2026-05-31 00:00:00+00:00,2,2,62,7
2026-06-01 00:00:00+00:00,26,11,69,6
2026-06-02 00:00:00+00:00,1,1,32,3
2026-06-03 00:00:00+00:00,5,5,15,5
2026-06-04 00:00:00+00:00,4,2,24,4
2026-06-05 00:00:00+00:00,15,8,36,5
2026-06-06 00:00:00+00:00,0,0,16,4
2026-06-07 00:00:00+00:00,4,3,16,5
