time_iso8601,stars_cumulative
2025-12-28 00:00:00+00:00,1
2025-12-30 00:00:00+00:00,2
2026-01-10 00:00:00+00:00,3
2026-01-27 00:00:00+00:00,10
2026-01-28 00:00:00+00:00,18
2026-01-29 00:00:00+00:00,20
2026-01-30 00:00:00+00:00,21
2026-01-31 00:00:00+00:00,22
2026-02-01 00:00:00+00:00,23
2026-02-02 00:00:00+00:00,24
2026-02-03 00:00:00+00:00,25
2026-02-08 00:00:00+00:00,26
2026-02-11 00:00:00+00:00,27
2026-02-14 00:00:00+00:00,28
2026-02-15 00:00:00+00:00,29
2026-02-18 00:00:00+00:00,31
2026-03-21 00:00:00+00:00,32
2026-04-06 00:00:00+00:00,33
2026-04-15 00:00:00+00:00,34
2026-04-21 00:00:00+00:00,35
2026-04-24 00:00:00+00:00,36
2026-05-08 00:00:00+00:00,38
2026-05-15 00:00:00+00:00,39
2026-05-18 00:00:00+00:00,40
2026-05-22 00:00:00+00:00,41
2026-05-26 00:00:00+00:00,42
2026-05-29 00:00:00+00:00,43
2026-05-31 00:00:00+00:00,44
2026-06-10 00:00:00+00:00,45
2026-06-25 00:00:00+00:00,46
2026-07-07 00:00:00+00:00,48
2026-07-08 00:00:00+00:00,49
2026-07-09 00:00:00+00:00,50
